Latitude,Longitude,Elevation(m),Elevation(ft),K-G,SCCS-ID,WWF_NUM,,,
-27.5,17,1296.924,4255,Bwh,1,13,,,
-19.94000053,20.53000069,1151.5344,3778,Bsh,2,7,,,
-9.550000191,33.86000061,490.728,1610,Cwa,8,7,,,
-3.75,35,1041.5016,3417,Aw,9,1,,,
0.479999989,32.56000137,1165.2504,3823,Aw,12,7,,,
1.75,28.32999992,810.1584,2658,Af,13,1,,,
13.75,-15.21000004,19.812,65,Bsh,21,7,,,
13.02999973,-7.349999905,305.7144,1003,Aw,22,7,,,
10.77999973,-0.819999993,194.1576,637,Aw,23,7,,,
16.66667,-2,264.2616,867,Bwh,24,7,,,
21,12,478.536,1570,Bwh,25,,,,
11.06000042,7.75,611.7336,2007,Aw,26,,,,
10.33333,15.3,324.3072,1064,Aw/Bsh,27,7,,,
13.5,25.5,705.612,2315,Bwh,29,7,,,
11.93000031,30.75,601.0656,1972,Bsh,30,7,,,
9.33333,34.66667,1525.524,5005,Aw,32,,,,
-4.900000095,35.86000061,1488.3384,4883,Bsh,34,7,,,
5.340000153,37.43999863,1470.0504,4823,Aw,35,7,,,
9,47,589.1784,1933,Bwh,36,,,,
12.60000038,37.45000076,2124.7608,6971,Aw/Csa,37,10,,,
23,38.75,955.548,3135,Bwh,39,13,,,
22.5,17.81999969,749.808,2460,Bwh,40,,,,
35,-3.25,233.7816,767,Csa,42,12,,,
-24.73999977,32.93000031,27.1272,89,Aw,43,7,,,
31.53000069,34.97999954,510.2352,1674,Csa,44,,,,
32.54000092,44.43000031,33.2232,109,Bwh,45,,,,
32.47000122,36.29000092,626.9736,2057,Bsh,46,12,,,
39.20000076,34,1525.8288,5006,Bsk/Csa,47,,,,
53,-9,29.8704,98,Cfb,51,4,,,
68.66000366,21.5,605.6376,1987,Dfc,52,6,,,
69.62999725,70.36000061,46.6344,153,ET,53,11,,,
52.66667,41.33333,160.3248,526,Dfb,54,4,,,
43,41,3.6576,12,Cfa,55,4,,,
36.61000061,44.52999878,741.8832,2434,Csa,57,8,,,
28.81999969,53.24000168,1191.4632,3909,Bsh,58,4,,,
32.5,74,223.1136,732,Bsh,59,13,5,,
19.27000046,80.97000122,700.1256,2297,Aw,60,1,,,
23.75,87.52999878,57.912,190,Cwa,62,2,,,
25.65999985,82.97000122,82.296,270,Cwa,63,1,,,
36.33000183,74.66000366,2435.352,7990,Bwk,64,,,,
45.81000137,57.97000122,112.1664,368,Bwk,65,13,,,
47,96.02999878,1509.9792,4954,Bsk ,66,8,,,
27.53000069,88.5,1212.4944,3978,Dwb,68,7,1,3,4
22.33333,93,1083.2592,3554,Am,70,1,,,
21.52000046,95.41000366,83.2104,273,Aw ,71,1,,,
20,100.66667,749.1984,2458,Aw ,72,2,,,
20.40999985,106.1699982,5.1816,17,Cwa,73,1,,,
13.85000038,100.7099991,3.6576,12,Aw,76,1,,,
-7.71999979,112.2200012,104.2416,342,Af,83,1,,,
-8.520000458,115.3799973,162.1536,532,Af,84,,,,
2,113,56.6928,186,Af,85,1,,,
5,120,2.1336,7,(Af),86,,,,
-11.39999962,130.4199982,19.812,65,Aw,90,7,,,
-23.54000092,133.7599945,720.852,2365,Bwh,91,13,,,
-8.680000305,148.3899994,20.4216,67,Af,92,1,,,
-7.630000114,138.6000061,4.2672,14,Aw ,93,14,,,
-4.059999943,136.0700073,1546.86,5075,Af,94,,,,
-2.200000048,147.1799927,6.7056,22,Af,96,1,,,
-8.56000042,151.1199951,6.7056,22,Af,98,,,,
-6.570000172,155.6300049,612.3432,2009,Af,99,1,,,
-12.30000019,168.8200073,4.572,15,(Af),100,,,,
-18,178.5833,20.1168,66,Af,102,2,,,
-35.43000031,173.5700073,59.1312,194,Cfb,104,,,,
-13.88000011,-171.9600067,597.7128,1961,Af,106,1,,,
6.019999981,169.5500031,-35.6616,-117,(Af),108,1,,,
7.409999847,151.6699982,7.62,25,(Af),109,1,,,
9.510000229,138.0899963,23.1648,76,(Af),110,2,,,
16.79999924,121.1500015,780.288,2560,Aw,112,1,,,
37.63000107,126.4899979,43.8912,144,Dwa,116,4,,,
34.50999832,133.9299927,161.8488,531,Cfa,117,4,,,
42.52999878,142.0899963,85.6488,281,Dfb,118,4,,,
53.08000183,141.8999939,0,0,Dfb,119,6,,,
66.94000244,-179.9199982,197.5104,648,ET,121,11,,,
68.77999878,-114.8199997,7.3152,24,ET,124,11,,,
60.52999878,-145.7599945,97.8408,321,ET,130,5,,,
54,-132.5,131.9784,433,Cfb,131,5,,,
52.40000153,-126.5999985,500.7864,1643,Dfb,132,5,,,
42.02999878,-121.0400009,1514.5512,4969,Dsa,138,5,,,
47.34999847,-101.3799973,512.3688,1681,Dwb,141,8,,,
41.97999954,-99.98999786,776.6304,2548,Dfa,142,8,,,
44.54999924,-79.84999847,223.1136,732,Dfb,144,4,,,
36.24000168,-112.6900024,1033.8816,3392,Csa,150,13,,,
31.78000069,-112.9000015,476.7072,1564,Bwh,151,13,,,
18.21999931,-94.87000275,382.524,1255,Am,154,3,,,
14.17000008,-83.30999756,6.7056,22,Am,156,,,,
12,-71.75,156.0576,512,Bwh,159,13,,,
18.82999992,-72.11000061,129.8448,426,Aw,160,,,,
9.140000343,-61.18000031,18.5928,61,Am,162,1,,,
7.380000114,-59.72999954,43.8912,144,Af,164,,,,
4.349999905,-55.22000122,110.3376,362,Am,165,,,,
1.059999943,-79.01999664,43.8912,144,Cfb,168,1,,,
-15.96000004,-70.01000214,3991.0512,13094,Cwb,172,10,,,
-13.02999973,-63.04000092,156.6672,514,Aw ,173,1,,,
-12.30000019,-51.59000015,303.276,995,Aw,179,7,,,
-23.5,-58.5,94.1832,309,Aw,182,9,,,
-38.70000076,-72.58999634,222.8088,731,Csb,184,,,,
-39.95999908,-65.44999695,162.7632,534,Bwk,185,,,,
-53.34000015,-71.16000366,277.368,910,ET,186,4,,,
-45,-68,467.5632,1534,Bwk,185s,,,,
15,7,422.7576,1387,Bwh,25s,,,,
31.75,28.5,-2215.5912,-7269,(Bwh),46s,12,,,
68,52,10.0584,33,Dfc,53s,11,,,
42,70,1991.5632,6534,Dsa,65s,13,,,